 num     #instances         #bytes  class name (module)
 229:             9            144  jdk.internal.misc.InternalLock (java.base@21.0.11)
 230:             6            144  jdk.internal.perf.PerfCounter (java.base@21.0.11)
 231:             6            144  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.11)
 232:             3            128  [Ljava.util.Hashtable$Entry; (java.base@21.0.11)
 233:             4            128  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@21.0.11)
 234:             4            128  jdk.internal.loader.NativeLibraries (java.base@21.0.11)
 235:             4            128  sun.util.resources.Bundles$CacheKey (java.base@21.0.11)
 236:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@21.0.11)
 237:             5            120  [Ljava.util.regex.Pattern$Node; (java.base@21.0.11)
 238:             1            120  [[Ljava.lang.String; (java.base@21.0.11)
 239:             1            120  boxOfActin.BoxOfActin$TimeLoop
 240:             3            120  java.io.RandomAccessFile (java.base@21.0.11)
 241:             3            120  java.lang.invoke.VarHandle$AccessDescriptor (java.base@21.0.11)
 242:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@21.0.11)
 243:             1            120  java.lang.ref.Reference$ReferenceHandler (java.base@21.0.11)
 244:             3            120  java.util.ResourceBundle$BundleReference (java.base@21.0.11)
 245:             5            120  java.util.stream.StreamOpFlag$Type (java.base@21.0.11)
 246:             5            120  jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer (java.base@21.0.11)
 247:             1            120  jdk.internal.misc.InnocuousThread (java.base@21.0.11)
 248:             2            112  java.lang.invoke.BoundMethodHandle$Species_LLLJ (java.base@21.0.11)
 249:             2            112  java.nio.DirectIntBufferRU (java.base@21.0.11)
 250:             2            112  sun.nio.cs.StreamEncoder (java.base@21.0.11)
 251:             1            104  [Ljava.lang.reflect.ClassFileFormatVersion; (java.base@21.0.11)
 252:             2            104  [Ljava.lang.reflect.Field; (java.base@21.0.11)
 253:             1            104  boxOfActin.BoxOfActin$DeflFil
 254:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@21.0.11)
 255:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@21.0.11)
 256:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@21.0.11)
 257:             4             96  [Ljava.lang.reflect.Method; (java.base@21.0.11)
 258:             6             96  [Ljava.security.Principal; (java.base@21.0.11)
 259:             1             96  [Lsun.util.locale.BaseLocale; (java.base@21.0.11)
 260:             2             96  java.io.PrintStream (java.base@21.0.11)
 261:             3             96  java.lang.Package (java.base@21.0.11)
 262:             3             96  java.lang.Runtime$Version (java.base@21.0.11)
 263:             3             96  java.lang.invoke.MethodHandles$Lookup (java.base@21.0.11)
 264:             4             96  java.lang.module.ModuleDescriptor$Opens (java.base@21.0.11)
 265:             6             96  java.security.ProtectionDomain$Key (java.base@21.0.11)
 266:             4             96  java.util.ArrayDeque (java.base@21.0.11)
 267:             4             96  java.util.Collections$SetFromMap (java.base@21.0.11)
 268:             3             96  java.util.HexFormat (java.base@21.0.11)
 269:             2             96  java.util.Locale$Category (java.base@21.0.11)
 270:             4             96  java.util.regex.Pattern$Qtype (java.base@21.0.11)
 271:             4             96  java.util.stream.StreamShape (java.base@21.0.11)
 272:             3             96  java.util.zip.ZipFile$CleanableResource (java.base@21.0.11)
 273:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@21.0.11)
 274:             3             96  jdk.internal.util.ClassFileDumper (java.base@21.0.11)
 275:             1             96  sun.font.AttributeValues (java.desktop@21.0.11)
 276:             2             96  sun.nio.cs.UTF_8$Encoder (java.base@21.0.11)
 277:             1             88  [LboxOfActin.Thing$WorkerScratch;
 278:             1             88  [LboxOfActin.ThreadSet;
 279:             1             88  boxOfActin.GlidingAssayEvaluator
 280:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@21.0.11)
 281:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@21.0.11)
 282:             2             80  [[Ljava.lang.invoke.MethodHandle; (java.base@21.0.11)
 283:             1             80  [[Z (java.base@21.0.11)
 284:             2             80  java.io.BufferedOutputStream (java.base@21.0.11)
 285:             2             80  java.io.BufferedWriter (java.base@21.0.11)
 286:             2             80  java.lang.ModuleLayer (java.base@21.0.11)
 287:             2             80  java.lang.module.Configuration (java.base@21.0.11)
 288:             2             80  java.lang.ref.NativeReferenceQueue (java.base@21.0.11)
 289:             5             80  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.11)
 290:             5             80  java.util.regex.Pattern$BitClass (java.base@21.0.11)
 291:             5             80  java.util.regex.Pattern$BranchConn (java.base@21.0.11)
 292:             2             80  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@21.0.11)
 293:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@21.0.11)
 294:             2             80  sun.util.locale.provider.LocaleResources (java.base@21.0.11)
 295:             1             72  boxOfActin.MotorBindGrid3D
 296:             1             72  java.awt.geom.AffineTransform (java.desktop@21.0.11)
 297:             3             72  java.lang.ProcessImpl$LaunchMechanism (java.base@21.0.11)
 298:             3             72  java.security.SecurityPermission (java.base@21.0.11)
 299:             3             72  java.util.zip.Inflater$InflaterZStreamRef (java.base@21.0.11)
 300:             3             72  java.util.zip.ZipCoder$Comparison (java.base@21.0.11)
 301:             3             72  java.util.zip.ZipFile$Source$Key (java.base@21.0.11)
 302:             3             72  jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer (java.base@21.0.11)
 303:             3             72  jdk.internal.misc.Signal (java.base@21.0.11)
 304:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@21.0.11)
 305:             2             64  [Ljava.nio.charset.CoderResult; (java.base@21.0.11)
 306:             2             64  java.io.FileOutputStream (java.base@21.0.11)
 307:             1             64  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@21.0.11)
 308:             2             64  java.lang.invoke.MethodHandles$Lookup$ClassOption (java.base@21.0.11)
 309:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@21.0.11)
 310:             1             64  java.text.DateFormatSymbols (java.base@21.0.11)
 311:             2             64  java.util.Collections$UnmodifiableMap (java.base@21.0.11)
 312:             4             64  java.util.HashMap$KeySet (java.base@21.0.11)
 313:             1             64  java.util.LinkedHashMap (java.base@21.0.11)
 314:             2             64  java.util.Random (java.base@21.0.11)
 315:             4             64  java.util.WeakHashMap$KeySet (java.base@21.0.11)
 316:             2             64  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@21.0.11)
 317:             4             64  jdk.internal.util.Preconditions$4 (java.base@21.0.11)
 318:             2             64  sun.nio.fs.UnixPath (java.base@21.0.11)
 319:             1             56  [LboxOfActin.RunTimer;
 320:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@21.0.11)
 321:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@21.0.11)
 322:             1             56  java.net.SocketPermission (java.base@21.0.11)
