step,motorId,segId,forceMag,forceDotFil,trackedAvg,releaseFired
2010,11446,42008,9.6058031321e-12,9.2490459735e-12,1.3219934479e-12,0
2010,23758,42002,3.4313693380e-12,2.2411796811e-12,-2.7311399399e-13,0
2010,26884,42001,5.0408826419e-12,-2.8485972262e-12,5.3804256379e-13,0
2010,26977,42007,2.4219114127e-12,-1.3456977503e-12,1.4252432269e-12,0
2010,27142,42001,6.6084073977e-12,5.0297275025e-12,1.2600299276e-12,0
2011,1039,42008,4.7297491444e-12,4.0563832675e-12,2.6672609108e-12,0
2011,1333,42004,9.5292758059e-12,-4.1117313547e-12,-1.9486939990e-12,0
2011,2191,42002,1.7975745675e-12,-1.9142465187e-14,1.2537885218e-12,0
2011,9304,42007,9.3308902271e-12,2.9350443517e-12,4.3191215578e-13,0
2011,11446,42008,3.9655743966e-12,2.7928930869e-12,1.4397491012e-12,0
2011,17350,42008,4.7879872810e-12,-1.1288146079e-18,-1.1288146079e-19,0
2011,23758,42002,4.3364270508e-12,-4.2083741006e-12,-6.4917905578e-13,0
2011,26884,42001,8.5063440666e-12,-1.4587421982e-12,6.3450823778e-13,0
2011,26977,42007,8.3352326777e-12,6.1352338140e-12,1.3555165372e-12,0
2011,27142,42001,4.2809926611e-12,-2.1316041380e-12,1.4911085604e-12,0
2012,1039,42008,7.2915467067e-12,6.8412242017e-12,2.6467374408e-12,0
2012,1333,42004,5.8372122240e-12,4.5696012078e-12,-1.6275662175e-12,0
2012,2191,42002,3.4229856363e-12,3.1866727139e-12,1.4462208983e-12,0
2012,9304,42007,8.8861097300e-12,-6.6511488157e-12,4.6444563690e-13,0
2012,11446,42008,5.5620720703e-12,-1.0157135549e-12,8.7534597626e-13,0
2012,17350,42008,6.5824581029e-12,-5.2790393584e-12,-5.2790404872e-13,0
2012,23758,42002,5.0942535780e-12,4.7181768041e-12,-1.3338397227e-13,0
2012,26884,42001,4.5077691579e-12,-5.3167328396e-13,4.8276671154e-13,0
2012,26977,42007,8.7592459327e-12,-4.5130782791e-12,8.8386278548e-13,0
2012,27142,42001,1.2559796952e-11,5.4332658164e-12,1.5009976985e-12,1
2013,1039,42008,3.8129967933e-12,1.9496335969e-12,3.1593124276e-12,0
2013,1333,42004,6.7805960499e-12,-1.9859116521e-12,-1.5334786759e-12,0
2013,2191,42002,8.2002021276e-13,7.7726486272e-13,1.8419259273e-12,0
2013,9304,42007,7.2992306643e-12,3.1975956171e-12,3.4874354923e-13,0
2013,11446,42008,3.8524738954e-12,-3.5978049966e-12,1.1202498347e-12,0
2013,17350,42008,6.6584741193e-12,-6.5676058342e-12,-1.1846646321e-12,1
2013,23758,42002,9.3356997480e-12,-6.3003842594e-12,-4.2963109199e-13,0
2013,26884,42001,7.5843454780e-12,-2.6797257989e-12,2.5808395812e-13,0
2013,26977,42007,9.9981039073e-12,4.6231555910e-12,7.4622002371e-13,0
2014,1039,42008,1.0191985277e-11,1.0084252877e-11,3.6125945443e-12,0
2014,1333,42004,2.8359081576e-12,2.5460623193e-12,-1.4315455547e-12,0
2014,2191,42002,2.0544510104e-12,-1.4256525648e-12,1.2590891103e-12,0
2014,9304,42007,5.8937845923e-12,-3.7866125166e-12,6.6624426245e-13,0
2014,11446,42008,8.9741486811e-12,7.9261814126e-12,1.2573898736e-12,0
2014,23758,42002,5.4003242850e-12,-7.8488864713e-13,-8.8568529680e-13,0
2014,26884,42001,3.6249681642e-12,3.3289968004e-12,5.4011045446e-13,0
2014,26977,42007,9.1786404866e-12,-6.2691718136e-12,5.3033307997e-13,0
2015,1039,42008,6.5413269419e-12,-2.8012765718e-12,3.4645216166e-12,0
2015,1333,42004,4.7893000329e-12,-2.5324980828e-12,-1.3368139537e-12,0
2015,2191,42002,5.6251865145e-12,-8.4783330530e-13,1.0842928326e-12,0
2015,9304,42007,8.2683799044e-12,5.9686049506e-12,5.3007167882e-13,0
2015,11446,42008,5.7380792826e-12,-5.2711823621e-12,1.0436988296e-12,0
2015,17350,42008,5.8794653174e-12,-1.3998197594e-18,-1.3998197594e-19,0
