 num     #instances         #bytes  class name (module)
 208:            15            480  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@21.0.11)
 209:             6            480  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.11)
 210:            12            480  java.lang.OutOfMemoryError (java.base@21.0.11)
 211:            15            480  jdk.jfr.internal.EventWriterMethod (jdk.jfr@21.0.11)
 212:            29            464  [Ljdk.jfr.SettingControl; (jdk.jfr@21.0.11)
 213:            29            464  jdk.proxy1.$Proxy0 (jdk.proxy1)
 214:            29            464  jdk.proxy1.$Proxy1 (jdk.proxy1)
 215:            29            464  jdk.proxy1.$Proxy17 (jdk.proxy1)
 216:            14            448  java.awt.Color (java.desktop@21.0.11)
 217:            14            448  java.lang.Package (java.base@21.0.11)
 218:             7            448  java.nio.DirectByteBuffer (java.base@21.0.11)
 219:            28            448  jdk.proxy1.$Proxy2 (jdk.proxy1)
 220:             1            432  [[[C (java.base@21.0.11)
 221:             9            432  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21.0.11)
 222:            27            432  java.util.concurrent.locks.ReentrantLock (java.base@21.0.11)
 223:             4            416  java.util.jar.JarFile$JarFileEntry (java.base@21.0.11)
 224:            13            416  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.11)
 225:            17            408  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.11)
 226:            10            400  java.security.ProtectionDomain (java.base@21.0.11)
 227:            25            400  jdk.jfr.internal.instrument.$Proxy26 (jdk.jfr@21.0.11)
 228:            12            384  java.lang.invoke.VarForm (java.base@21.0.11)
 229:             8            384  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@21.0.11)
 230:             8            384  jdk.jfr.internal.periodic.JDKEventTask (jdk.jfr@21.0.11)
 231:            13            376  [Ljava.io.ObjectStreamField; (java.base@21.0.11)
 232:            23            368  java.awt.font.TextAttribute (java.desktop@21.0.11)
 233:            23            368  java.lang.Float (java.base@21.0.11)
 234:            15            360  java.lang.RuntimePermission (java.base@21.0.11)
 235:            15            360  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.11)
 236:            11            352  java.lang.invoke.SimpleMethodHandle (java.base@21.0.11)
 237:             5            336  [Lsun.invoke.util.Wrapper; (java.base@21.0.11)
 238:             5            336  [S (java.base@21.0.11)
 239:             6            336  java.nio.DirectLongBufferU (java.base@21.0.11)
 240:             7            336  jdk.jfr.internal.Utils$ThrottleUnit (jdk.jfr@21.0.11)
 241:             8            320  java.lang.WeakPairMap$Pair$Weak (java.base@21.0.11)
 242:             8            320  java.security.CodeSource (java.base@21.0.11)
 243:            10            320  java.util.regex.Pattern$Curly (java.base@21.0.11)
 244:             4            320  java.util.zip.ZipFile$Source (java.base@21.0.11)
 245:            10            320  sun.nio.fs.UnixPath (java.base@21.0.11)
 246:            10            320  sun.util.locale.BaseLocale$Key (java.base@21.0.11)
 247:            13            312  java.util.concurrent.atomic.AtomicLong (java.base@21.0.11)
 248:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@21.0.11)
 249:             2            288  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@21.0.11)
 250:             4            288  java.awt.Font (java.desktop@21.0.11)
 251:            12            288  java.lang.annotation.ElementType (java.base@21.0.11)
 252:             6            288  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.11)
 253:            12            288  java.time.Month (java.base@21.0.11)
 254:             6            288  java.util.stream.StreamOpFlag (java.base@21.0.11)
 255:             7            280  java.io.FileDescriptor (java.base@21.0.11)
 256:             7            280  jdk.jfr.internal.Utils$TimespanUnit (jdk.jfr@21.0.11)
 257:             5            280  sun.util.calendar.ZoneInfo (java.base@21.0.11)
 258:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@21.0.11)
 259:             8            256  java.lang.WeakPairMap$Pair$Weak$1 (java.base@21.0.11)
 260:             8            256  java.math.RoundingMode (java.base@21.0.11)
 261:             8            256  java.util.Hashtable$Entry (java.base@21.0.11)
 262:             4            256  java.util.zip.Inflater (java.base@21.0.11)
 263:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@21.0.11)
 264:             5            240  java.lang.invoke.BoundMethodHandle$Species_LLJ (java.base@21.0.11)
 265:             6            240  java.lang.invoke.LambdaForm$BasicType (java.base@21.0.11)
 266:            10            240  java.nio.charset.CoderResult (java.base@21.0.11)
 267:            10            240  java.nio.file.StandardOpenOption (java.base@21.0.11)
 268:             6            240  java.util.EnumMap (java.base@21.0.11)
 269:             5            240  java.util.WeakHashMap (java.base@21.0.11)
 270:             6            240  java.util.WeakHashMap$Entry (java.base@21.0.11)
 271:             6            240  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@21.0.11)
 272:            15            240  jdk.proxy1.$Proxy20 (jdk.proxy1)
 273:            15            240  sun.invoke.util.ValueConversions$WrapperCache (java.base@21.0.11)
 274:             2            224  [Lsun.font.EAttribute; (java.desktop@21.0.11)
 275:             4            224  java.io.FileCleanable (java.base@21.0.11)
 276:             7            224  java.util.ImmutableCollections$MapN (java.base@21.0.11)
 277:             4            224  java.util.jar.JarFile (java.base@21.0.11)
 278:             9            216  java.lang.reflect.AccessFlag$Location (java.base@21.0.11)
 279:             3            216  java.util.ResourceBundle$CacheKey (java.base@21.0.11)
 280:            13            208  java.text.NumberFormat$Field (java.base@21.0.11)
 281:            13            208  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@21.0.11)
 282:            13            208  jdk.proxy1.$Proxy11 (jdk.proxy1)
 283:             5            200  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@21.0.11)
 284:            12            192  com.sun.proxy.jdk.proxy1.$Proxy18 (jdk.proxy1)
 285:             6            192  java.io.File (java.base@21.0.11)
 286:             4            192  java.lang.ThreadGroup (java.base@21.0.11)
 287:             4            192  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.11)
 288:             3            192  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@21.0.11)
 289:             4            192  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@21.0.11)
 290:             8            192  java.lang.module.ModuleDescriptor$Opens (java.base@21.0.11)
 291:             8            192  java.net.NetPermission (java.base@21.0.11)
 292:             3            192  java.nio.DirectByteBufferR (java.base@21.0.11)
 293:             6            192  java.util.ResourceBundle$KeyElementReference (java.base@21.0.11)
 294:             8            192  java.util.regex.Pattern$GroupHead (java.base@21.0.11)
 295:             8            192  java.util.regex.Pattern$GroupTail (java.base@21.0.11)
 296:             4            192  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.11)
 297:             6            192  jdk.jfr.internal.consumer.StringParser$Encoding (jdk.jfr@21.0.11)
 298:             1            184  boxOfActin.Chamber
 299:             2            176  java.util.regex.Pattern (java.base@21.0.11)
 300:             2            168  [Ljava.lang.ClassValue$Entry; (java.base@21.0.11)
 301:             1            168  [[Ljava.math.BigInteger; (java.base@21.0.11)
 302:             3            168  boxOfActin.Mesh
 303:             3            168  java.lang.invoke.BoundMethodHandle$Species_LLLJ (java.base@21.0.11)
 304:             3            168  java.nio.HeapByteBuffer (java.base@21.0.11)
 305:             7            168  java.time.DayOfWeek (java.base@21.0.11)
 306:             7            168  java.time.ZoneOffset (java.base@21.0.11)
 307:             7            168  java.util.Collections$SetFromMap (java.base@21.0.11)
 308:             3            168  java.util.Properties (java.base@21.0.11)
 309:            10            160  [Ljava.security.Principal; (java.base@21.0.11)
 310:             4            160  java.io.RandomAccessFile (java.base@21.0.11)
 311:             5            160  java.lang.invoke.MethodHandles$Lookup (java.base@21.0.11)
 312:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@21.0.11)
 313:            10            160  java.security.ProtectionDomain$Key (java.base@21.0.11)
 314:             5            160  java.util.RegularEnumSet (java.base@21.0.11)
 315:             5            160  java.util.regex.Pattern$Branch (java.base@21.0.11)
 316:             5            160  jdk.jfr.internal.LogLevel (jdk.jfr@21.0.11)
 317:             6            144  java.lang.Thread$State (java.base@21.0.11)
 318:             3            144  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21.0.11)
 319:             9            144  java.util.HashMap$EntrySet (java.base@21.0.11)
 320:             3            144  java.util.Hashtable (java.base@21.0.11)
 321:             9            144  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.11)
 322:             6            144  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@21.0.11)
 323:             9            144  jdk.internal.misc.InternalLock (java.base@21.0.11)
 324:             6            144  jdk.internal.perf.PerfCounter (java.base@21.0.11)
 325:             1            136  [Ljava.time.temporal.ChronoField; (java.base@21.0.11)
 326:             2            128  [Ljava.time.Month; (java.base@21.0.11)
 327:             3            128  [Ljava.util.Hashtable$Entry; (java.base@21.0.11)
 328:             4            128  java.lang.ClassValue$Entry (java.base@21.0.11)
 329:             4            128  java.lang.module.ModuleDescriptor$Modifier (java.base@21.0.11)
 330:             4            128  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@21.0.11)
 331:             8            128  java.util.Collections$UnmodifiableSet (java.base@21.0.11)
 332:             1            128  java.util.TimerThread (java.base@21.0.11)
 333:             4            128  java.util.zip.ZipFile$CleanableResource (java.base@21.0.11)
 334:             4            128  jdk.internal.loader.NativeLibraries (java.base@21.0.11)
 335:             8            128  jdk.proxy1.$Proxy4 (jdk.proxy1)
 336:             8            128  jdk.proxy1.$Proxy7 (jdk.proxy1)
 337:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@21.0.11)
 338:             5            120  [Ljava.util.regex.Pattern$Node; (java.base@21.0.11)
 339:             1            120  [[Ljava.lang.String; (java.base@21.0.11)
 340:             1            120  boxOfActin.BoxOfActin$TimeLoop
 341:             3            120  java.lang.invoke.BoundMethodHandle$Species_LI (java.base@21.0.11)
 342:             3            120  java.lang.invoke.VarHandle$AccessDescriptor (java.base@21.0.11)
 343:             3            120  java.lang.module.Configuration (java.base@21.0.11)
 344:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@21.0.11)
 345:             1            120  java.lang.ref.Reference$ReferenceHandler (java.base@21.0.11)
 346:             3            120  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@21.0.11)
 347:             5            120  java.security.Permissions (java.base@21.0.11)
 348:             5            120  java.util.ArrayDeque (java.base@21.0.11)
 349:             3            120  java.util.IdentityHashMap (java.base@21.0.11)
 350:             3            120  java.util.ResourceBundle$BundleReference (java.base@21.0.11)
 351:             5            120  java.util.stream.StreamOpFlag$Type (java.base@21.0.11)
 352:             3            120  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@21.0.11)
 353:             5            120  jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer (java.base@21.0.11)
 354:             1            120  jdk.internal.misc.InnocuousThread (java.base@21.0.11)
 355:             5            120  jdk.jfr.RecordingState (jdk.jfr@21.0.11)
 356:             5            120  jdk.jfr.internal.SecuritySupport$SafePath (jdk.jfr@21.0.11)
 357:             5            120  sun.security.util.LazyCodeSourcePermissionCollection (java.base@21.0.11)
 358:             3            120  sun.util.resources.Bundles$BundleReference (java.base@21.0.11)
 359:             1            112  [Ljava.lang.reflect.AccessFlag; (java.base@21.0.11)
 360:             1            112  [Ljava.time.LocalTime; (java.base@21.0.11)
 361:             2            112  [Ljava.util.concurrent.atomic.LongAdder; (java.base@21.0.11)
 362:             3            112  [Lsun.invoke.util.ValueConversions$WrapperCache; (java.base@21.0.11)
 363:             2            112  java.nio.DirectIntBufferRU (java.base@21.0.11)
 364:             2            112  jdk.jfr.internal.event.EventWriter (jdk.jfr@21.0.11)
 365:             7            112  jdk.jfr.internal.instrument.$Proxy25 (jdk.jfr@21.0.11)
 366:             2            112  sun.nio.cs.StreamEncoder (java.base@21.0.11)
 367:             1            104  [Ljava.lang.reflect.ClassFileFormatVersion; (java.base@21.0.11)
 368:             1            104  boxOfActin.BoxOfActin$DeflFil
 369:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@21.0.11)
 370:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@21.0.11)
 371:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@21.0.11)
 372:             2             96  [Ljava.time.DayOfWeek; (java.base@21.0.11)
 373:             1             96  [Lsun.util.locale.BaseLocale; (java.base@21.0.11)
 374:             2             96  java.io.PrintStream (java.base@21.0.11)
 375:             3             96  java.lang.Runtime$Version (java.base@21.0.11)
 376:             4             96  java.security.BasicPermissionCollection (java.base@21.0.11)
 377:             4             96  java.time.Instant (java.base@21.0.11)
 378:             2             96  java.time.zone.ZoneOffsetTransitionRule (java.base@21.0.11)
 379:             3             96  java.util.Collections$UnmodifiableMap (java.base@21.0.11)
 380:             3             96  java.util.HexFormat (java.base@21.0.11)
 381:             2             96  java.util.Locale$Category (java.base@21.0.11)
 382:             4             96  java.util.regex.Pattern$Qtype (java.base@21.0.11)
 383:             4             96  java.util.stream.StreamShape (java.base@21.0.11)
 384:             4             96  java.util.zip.Inflater$InflaterZStreamRef (java.base@21.0.11)
 385:             4             96  java.util.zip.ZipFile$Source$Key (java.base@21.0.11)
